# Lambda	Flux
1.521	800558.0759448286
1.5210297236322614	801091.300849475
1.5210594472645234	801613.0738234471
1.5210891708967849	802116.9762829674
1.5211188945290468	802614.8485421645
1.5211486181613083	803114.7226787453
1.52117834179357	803597.8795713164
1.5212080654258318	804037.5289901171
1.5212377890580935	804436.8896219593
1.5212675126903552	804816.5014350035
1.521297236322617	805129.3816612925
1.5213269599548784	805409.9312634881
1.5213566835871404	805797.3246280735
1.5213864072194019	806311.2567575854
1.5214161308516638	806914.1373473407
1.5214458544839253	807530.9734807785
1.521475578116187	808064.819362333
1.5215053017484488	808379.0684903341
1.5215350253807105	808055.9497813092
1.5215647490129722	805695.9268640677
1.521594472645234	800980.5216166177
1.5216241962774955	799211.3833809384
1.5216539199097574	803628.6838630061
1.521683643542019	808584.4293922675
1.5217133671742809	810409.4107248625
1.5217430908065424	809631.1598911858
1.521772814438804	804770.0300803328
1.5218025380710658	792048.5149254667
1.5218322617033275	773654.7498775675
1.5218619853355893	763548.7216836326
1.521891708967851	773399.3118498941
1.5219214326001127	793975.8621493457
1.5219511562323744	808301.6860950141
1.521980879864636	814008.2934824588
1.5220106034968979	816070.9745086109
1.5220403271291594	817107.0365438162
1.5220700507614213	817790.9562447197
1.5220997743936828	818328.1537817331
1.5221294980259445	818896.6798073744
1.5221592216582063	819544.8110469414
1.522188945290468	820166.244072044
1.5222186689227297	820732.4795779423
1.5222483925549914	821269.5720550376
1.522278116187253	821760.4829893977
1.522307839819515	822117.9375499693
1.5223375634517764	822108.9939769222
1.5223672870840383	821590.522793577
1.5223970107162998	820977.9321173279
1.5224267343485616	820909.4134638669
1.5224564579808233	821917.9694033454
1.522486181613085	823668.1706430819
1.5225159052453467	825013.8761624212
1.5225456288776085	825676.6194460545
1.52257535250987	826017.9025487435
1.522605076142132	826357.1043372853
1.5226347997743934	826873.3091672101
1.5226645234066554	827622.0725480174
1.5226942470389169	828449.349058584
1.5227239706711786	829166.2354707118
1.5227536943034403	829756.609717893
1.522783417935702	830285.2558916894
1.5228131415679638	830795.1095147871
1.5228428652002255	831263.0994644023
1.522872588832487	831568.4680399947
1.522902312464749	831539.4268386796
1.5229320360970104	831449.744146359
1.5229617597292724	831992.4403112981
1.522991483361534	833011.7294314898
1.5230212069937956	833887.2868807171
1.5230509306260573	834565.0329027908
1.523080654258319	835156.2148478675
1.5231103778905808	835685.4602154864
1.5231401015228425	836169.8852179782
1.523169825155104	836606.3406957482
1.523199548787366	836964.9504553565
1.5232292724196275	837261.2933696826
1.5232589960518894	837572.8229771836
1.523288719684151	837861.136654204
1.5233184433164126	837816.344185847
1.5233481669486744	836674.0297835446
1.523377890580936	832248.2072705141
1.5234076142131978	822356.0096651809
1.5234373378454595	813808.5811127652
1.523467061477721	817990.2618003795
1.523496785109983	829864.0230527382
1.5235265087422445	837932.9591265836
1.5235562323745064	841039.0061014429
1.523585956006768	841813.9133308933
1.5236156796390297	841331.6645730985
1.5236454032712914	840838.9391752256
1.5236751269035531	841923.4878326659
1.5237048505358148	843947.3869251012
1.5237345741680766	845395.4064440837
1.5237642978003383	846187.0562803693
1.5237940214326	846757.9990772046
1.5238237450648615	847324.6276554982
1.5238534686971235	847934.1773687776
1.523883192329385	848525.0260903211
1.523912915961647	849026.6889827304
1.5239426395939084	849382.8927312876
1.5239723632261701	849632.8649586408
1.5240020868584319	850030.1372802526
1.5240318104906936	850698.1585787743
1.5240615341229553	851372.8095493317
1.524091257755217	851890.6442806051
1.5241209813874785	852396.2572380726
1.5241507050197405	852967.8882221463
1.524180428652002	853490.6712927781
1.524210152284264	853862.5931384618
1.5242398759165254	854091.903792376
1.5242695995487872	854373.6949366555
1.5242993231810489	854694.6446813016
1.5243290468133106	854200.0661740545
1.5243587704455723	851646.4790559887
1.524388494077834	848242.8604610338
1.5244182177100956	847163.8161797522
1.5244479413423575	845931.4562125533
1.524477664974619	841327.7751620441
1.524507388606881	832647.2437851653
1.5245371122391425	815343.3247178682
1.5245668358714042	804454.1354432545
1.524596559503666	819952.9780060392
1.5246262831359276	843559.665188976
1.5246560067681894	855286.5406598276
1.524685730400451	857496.8084511696
1.5247154540327126	857058.1870586325
1.5247451776649745	858460.819997592
1.524774901297236	861150.9576459646
1.524804624929498	862938.7875660559
1.5248343485617595	863839.6415883614
1.5248640721940212	864262.9042200772
1.524893795826283	864034.5081528415
1.5249235194585447	862187.7246020644
1.5249532430908064	857050.2667815329
1.524982966723068	850604.3397802615
1.5250126903553296	850510.9522287204
1.5250424139875915	857295.5185120829
1.525072137619853	862745.7309572058
1.525101861252115	863794.8532981166
1.5251315848843765	863645.2406291646
1.5251613085166382	865145.1926279155
1.5251910321489	866362.5068094988
1.5252207557811617	865385.6149455358
1.5252504794134234	864760.5731652292
1.5252802030456851	866485.7781060945
1.5253099266779466	868400.5771613782
1.5253396503102086	869274.3264017919
1.52536937394247	869784.2933618423
1.525399097574732	869613.3189657878
1.5254288212069935	868708.8714704278
1.5254585448392552	867986.9683062806
1.525488268471517	866224.4025903903
1.5255179921037787	864130.2981603162
1.5255477157360404	866028.4111295996
1.5255774393683021	870585.3450849024
1.5256071630005639	873525.731697302
1.5256368866328256	874769.8116415669
1.525666610265087	875527.4949944221
1.525696333897349	875000.5390468744
1.5257260575296105	870320.5229104521
1.5257557811618725	857945.5797345461
1.525785504794134	843438.3474501376
1.5258152284263957	843509.9455878229
1.5258449520586574	858603.4218379352
1.5258746756909192	871815.416186431
1.525904399323181	876881.8913867105
1.5259341229554426	878084.1410289375
1.5259638465877041	879508.4486921239
1.525993570219966	881494.1121946108
1.5260232938522276	882772.6822826762
1.5260530174844895	883537.3414202731
1.526082741116751	884120.4451229295
1.5261124647490127	883677.998430286
1.5261421883812745	881111.7864836124
1.5261719120135362	877936.1522685594
1.526201635645798	877891.1856711125
1.5262313592780596	880793.7932711969
1.5262610829103211	883793.9916151384
1.526290806542583	885937.8282724853
1.5263205301748446	887521.4888008608
1.5263502538071065	888330.5590198546
1.526379977439368	887639.7462949877
1.5264097010716298	883539.835106763
1.5264394247038915	875038.1680886779
1.5264691483361532	869063.9389810498
1.526498871968415	873346.145998257
1.5265285956006767	882150.5629394662
1.5265583192329382	887818.0952544917
1.5265880428652001	890377.1579967418
1.5266177664974616	891666.9845863325
1.5266474901297236	892067.479587065
1.526677213761985	890247.0570623295
1.5267069373942468	881822.2823769766
1.5267366610265085	862320.833407122
1.5267663846587702	844297.2192988738
1.526796108291032	850322.1267340533
1.5268258319232937	872315.058336355
1.5268555555555552	888000.5023790918
1.5268852791878171	894253.061090792
1.5269150028200786	896497.5149415558
1.5269447264523406	897873.3367427511
1.526974450084602	899115.3517649565
1.5270041737168638	900024.6797947668
1.5270338973491255	900547.7560275738
1.5270636209813873	900712.1519675597
1.527093344613649	900727.3130217561
1.5271230682459107	900941.1392757342
1.5271527918781722	901407.6131876516
1.5271825155104342	902050.0916228365
1.5272122391426957	902420.8670415316
1.5272419627749576	902101.8324809904
1.527271686407219	900840.6149529819
1.5273014100394808	895900.6108028099
1.5273311336717426	881239.8343952874
1.5273608573040043	860277.4100766772
1.527390580936266	855692.9724761884
1.5274203045685277	874410.3804539241
1.5274500282007895	893842.1595747011
1.5274797518330512	902696.0580097388
1.5275094754653127	905795.6413182977
1.5275391990975746	906907.9744397284
1.5275689227298361	907295.0293292931
1.527598646362098	907947.5382835878
1.5276283699943596	909160.4843204006
1.5276580936266213	910238.196644387
1.527687817258883	910960.1394213412
1.5277175408911448	911742.0022874633
1.5277472645234065	912413.5232910503
1.5277769881556682	912700.126193867
1.52780671178793	912993.7433892998
1.5278364354201917	913561.2642159878
1.5278661590524532	913993.6408717474
1.527895882684715	914005.0362219855
1.5279256063169766	913229.664751187
1.5279553299492383	910858.6880998744
1.5279850535815	907918.546952973
1.5280147772137618	908256.8000778498
1.5280445008460235	912223.293916201
1.5280742244782852	915943.966667619
1.528103948110547	917688.7783988172
1.5281336717428087	918419.0464565983
1.5281633953750702	919140.485051734
1.5281931190073321	919806.7989922698
1.5282228426395936	920172.4745523715
1.5282525662718554	920273.0793291432
1.528282289904117	920441.7247059223
1.5283120135363788	921083.0626788122
1.5283417371686405	921997.6724929999
1.5283714608009022	922797.7536982062
1.528401184433164	923428.3601632647
1.5284309080654257	923873.2439751779
1.5284606316976874	924143.4461267103
1.5284903553299491	924514.2139456272
1.5285200789622106	924961.5158333766
1.5285498025944724	925310.9731832906
1.528579526226734	925504.8912661474
1.5286092498589958	925377.8473987964
1.5286389734912575	924702.42787407
1.5286686971235193	921544.4504185605
1.528698420755781	910333.0777253757
1.5287281443880427	891387.6687141525
1.5287578680203044	884165.4214308998
1.5287875916525662	899229.168612479
1.5288173152848277	917695.6656046429
1.5288470389170894	926879.2942833285
1.5288767625493511	930109.6788347238
1.5289064861816128	931436.9659825463
1.5289362098138746	932124.3140085349
1.5289659334461363	932531.4704645564
1.528995657078398	933070.791524137
1.5290253807106597	933894.4970520815
1.5290551043429215	934685.3653182661
1.5290848279751832	935228.9154574969
1.529114551607445	935491.6979198741
1.5291442752397064	935416.7681496214
1.5291739988719681	934931.3684154783
1.5292037225042299	934290.1876455826
1.5292334461364916	934539.8367064967
1.5292631697687533	935940.075449736
1.529292893401015	937234.4102163297
1.5293226170332768	937814.0337605928
1.5293523406655385	938358.9400032606
1.5293820642978002	939272.3045960756
1.529411787930062	940119.8447866263
1.5294415115623237	940670.7835559527
1.5294712351945854	940716.9719133812
1.529500958826847	939959.4662272842
1.5295306824591086	938485.343789796
1.5295604060913703	935712.7773431009
1.529590129723632	930831.1340235657
1.5296198533558938	927229.5016975616
1.5296495769881555	929147.4740998697
1.5296793006204172	933794.5749040236
1.529709024252679	935353.8484649094
1.5297387478849407	932271.641984628
1.5297684715172024	930601.9034740907
1.529798195149464	935189.4280298775
1.5298279187817256	941424.9123789339
1.5298576424139874	944782.188797864
1.529887366046249	945840.230590531
1.5299170896785108	946260.8559673313
1.5299468133107725	946478.5037501411
1.5299765369430343	947227.3100925996
1.530006260575296	948710.6428840756
1.5300359842075577	949741.1951865858
1.5300657078398194	950298.3804197361
1.530095431472081	951126.0979999956
1.5301251551043429	951780.440533071
1.5301548787366044	951429.3399527902
1.530184602368866	948437.1587140617
1.5302143260011278	941685.7688983079
1.5302440496333896	937875.2894920048
1.5302737732656513	941969.9076663633
1.530303496897913	944189.720872634
1.5303332205301747	938526.1342917595
1.5303629441624365	934152.5393394975
1.530392667794698	939765.8718625854
1.53042239142696	949530.4546793606
1.5304521150592214	955093.0099398225
1.5304818386914834	956325.9517107086
1.5305115623237449	956294.9201261287
1.5305412859560066	956824.8398165583
1.5305710095882683	957551.04243062
1.53060073322053	957806.8925891845
1.5306304568527918	957529.7388976417
1.5306601804850535	958046.5504841028
1.530689904117315	959909.8924519351
1.530719627749577	961563.6666332195
1.5307493513818384	961926.9454633272
1.5307790750141004	961522.6880328556
1.5308087986463619	962041.7878901741
1.5308385222786236	963577.7799529253
1.5308682459108853	964401.2879877018
1.530897969543147	963673.146533416
1.5309276931754088	962454.4939976489
1.5309574168076705	962557.7161297036
1.530987140439932	963834.6043152452
1.531016864072194	964582.5674731747
1.5310465877044555	964123.077352124
1.5310763113367174	963886.3662322685
1.531106034968979	964994.6862926736
1.5311357586012408	966281.67845717
1.5311654822335024	966773.5873760933
1.531195205865764	966597.1981991236
1.5312249294980258	964302.6881648664
1.5312546531302875	956544.6609668897
1.5312843767625492	946144.1788035054
1.531314100394811	938920.7067923764
1.5313438240270725	930501.4270762098
1.5313735476593344	926205.1651494084
1.531403271291596	939358.813043475
1.5314329949238579	958755.5776672482
1.5314627185561194	969802.6803144215
1.531492442188381	973950.5796971386
1.5315221658206428	975626.0084312138
1.5315518894529045	976275.7628867599
1.5315816130851663	976177.057504594
1.531611336717428	975027.390025696
1.5316410603496895	973522.3462598692
1.5316707839819514	974410.9408626113
1.531700507614213	977304.5712417277
1.531730231246475	979211.5106802948
1.5317599548787364	979920.042858671
1.5317896785109981	980591.1023361649
1.5318194021432598	981227.367732884
1.5318491257755216	981226.1931153149
1.5318788494077833	979855.2559160269
1.531908573040045	976570.9137546344
1.5319382966723065	973947.120322586
1.5319680203045685	976115.5540501308
1.53199774393683	981129.443764659
1.532027467569092	984582.4482967663
1.5320571912013534	986016.5879511355
1.5320869148336151	986474.9004114809
1.5321166384658769	986464.1384639067
1.5321463620981386	986420.4488086721
1.5321760857304003	985953.5354397349
1.532205809362662	983391.9139171094
1.5322355329949235	980345.3430455175
1.5322652566271855	981802.49669451
1.532294980259447	986389.5476119176
1.532324703891709	989289.75557853
1.5323544275239704	990076.2630394051
1.5323841511562322	990133.0837713743
1.532413874788494	990411.1451331859
1.5324435984207556	991165.3170667753
1.5324733220530173	991016.7805667679
1.532503045685279	987538.5211751929
1.5325327693175406	982450.3431582154
1.5325624929498025	982522.5079171304
1.532592216582064	987404.7226089946
1.532621940214326	991600.5095803977
1.5326516638465875	994404.5767197284
1.5326813874788492	996003.59743452
1.532711111111111	996326.8242853542
1.5327408347433726	995974.9135052691
1.5327705583756344	995128.3118537527
1.532800282007896	992162.9817415737
1.5328300056401578	986659.1777393771
1.5328597292724195	985604.1139277263
1.532889452904681	991827.0723200942
1.532919176536943	997531.3752679998
1.5329489001692045	999513.6362469868
1.5329786238014664	999968.6521819195
1.533008347433728	1000602.3538830943
1.5330380710659897	1001620.1160839654
1.5330677946982514	1001937.4151942404
1.533097518330513	999493.1541105047
1.5331272419627748	992554.2603459031
1.5331569655950366	987054.9954380918
1.533186689227298	991356.1268562515
1.53321641285956	1000050.9249481471
1.5332461364918215	1005171.5710350228
1.5332758601240835	1006775.8813633908
1.533305583756345	1006890.3698596808
1.5333353073886067	1006936.3102036577
1.5333650310208684	1007453.1828750593
1.5333947546531301	1006657.1715695853
1.5334244782853919	1000962.6439345862
1.5334542019176536	991916.7096323011
1.533483925549915	991039.4174507472
1.533513649182177	1000469.6931973638
1.5335433728144385	1008604.6541089113
1.5335730964467005	1011479.2566367555
1.533602820078962	1012153.0170474299
1.5336325437112237	1012568.0435661245
1.5336622673434854	1012791.7888691209
1.5336919909757472	1012292.033529969
1.5337217146080089	1009129.3333660385
1.5337514382402706	1000288.8950084987
1.533781161872532	991591.2479971156
1.533810885504794	995679.8448588346
1.5338406091370556	1007474.0897504123
1.5338703327693175	1014280.4527693738
1.533900056401579	1015022.4132330595
1.5339297800338407	1011740.3420988659
1.5339595036661025	1007035.0312280521
1.5339892272983642	1006585.3095085607
1.534018950930626	1010315.9206888666
1.5340486745628876	1009965.1850881058
1.5340783981951491	1000826.3789338387
1.534108121827411	993541.5159630852
1.5341378454596726	1000976.3066670514
1.5341675690919345	1013878.4981558
1.534197292724196	1020802.1344938803
1.5342270163564578	1022983.8569229746
1.5342567399887195	1023745.0142711329
1.5342864636209812	1024135.722105086
1.534316187253243	1024319.3881880136
1.5343459108855046	1023334.2278015615
1.5343756345177662	1017469.0269639838
1.534405358150028	1004779.1464624308
1.5344350817822896	997234.1238665935
1.5344648054145515	1006312.2542900532
1.534494529046813	1019952.7312644429
1.5345242526790748	1026478.7117414477
1.5345539763113365	1027937.3781401776
1.5345836999435982	1028125.3192134015
1.53461342357586	1028557.5616138508
1.5346431472081217	1029445.1037445248
1.5346728708403832	1029317.6449637453
1.5347025944726451	1024075.9076071775
1.5347323181049066	1011002.4520475388
1.5347620417371686	1001820.2567988404
1.53479176536943	1010336.0251935979
1.534821489001692	1024883.6445418561
1.5348512126339535	1032009.4154537747
1.5348809362662152	1033494.0442145099
1.534910659898477	1032608.4305787669
1.5349403835307387	1029068.7294044936
1.5349701071630004	1024579.376086437
1.5349998307952621	1024327.3685861462
1.5350295544275236	1024929.7505863176
1.5350592780597856	1016067.6021282964
1.535089001692047	1003077.1349547771
1.535118725324309	1002251.3094239994
1.5351484489565705	1010167.4363184304
1.5351781725888323	1019368.7408417439
1.535207896221094	1029368.8588184674
1.5352376198533557	1035751.7768943391
1.5352673434856174	1038100.6748595262
1.5352970671178792	1039574.3884360406
1.5353267907501407	1040557.9177218354
1.5353565143824026	1038702.8940343043
1.5353862380146641	1029712.8914470735
1.535415961646926	1016186.9113245703
1.5354456852791876	1014923.2632451964
1.5354754089114493	1028858.1618250086
1.535505132543711	1041017.8700507022
1.5355348561759727	1045651.9713479311
1.5355645798082345	1047005.9454502029
1.5355943034404962	1047616.5547404642
1.5356240270727577	1048064.5126004816
1.5356537507050196	1048230.5585848372
1.5356834743372811	1046879.5890738559
1.535713197969543	1040050.7190108955
1.5357429216018046	1024549.7381553274
1.5357726452340663	1012377.079369406
1.535802368866328	1020086.2290345981
1.5358320924985898	1037164.4024788397
