# Lambda	Flux
0.765	834000.5465937923
0.7650334742351047	769586.5010169867
0.7650669484702094	626685.9607981645
0.765100422705314	476826.354233056
0.7651338969404187	456993.2697073096
0.7651673711755234	491859.66330426646
0.765200845410628	453762.7550600843
0.7652343196457326	467388.03527480556
0.7652677938808373	614400.7872342647
0.765301268115942	762320.6600297213
0.7653347423510467	833364.1153440912
0.7653682165861514	855940.6992757035
0.7654016908212561	860340.9888898713
0.7654351650563607	863297.0905281128
0.7654686392914654	864881.790397876
0.76550211352657	853667.9321521235
0.7655355877616747	807197.6280385941
0.7655690619967794	693673.9491113897
0.7656025362318841	553954.2677042551
0.7656360104669888	522645.54862801015
0.7656694847020934	562424.9284188224
0.7657029589371981	530829.0819051459
0.7657364331723027	527721.0883901466
0.7657699074074074	652243.9465838668
0.765803381642512	786032.3481532099
0.7658368558776167	848888.9449128793
0.7658703301127214	866976.8527387918
0.7659038043478261	871118.5359133129
0.7659372785829308	874329.2869600214
0.7659707528180355	876550.604086593
0.7660042270531401	874040.2907123871
0.7660377012882448	861319.3705459055
0.7660711755233494	817269.6202565272
0.766104649758454	710948.9230589652
0.7661381239935587	602752.7139625378
0.7661715982286634	604341.9125485406
0.7662050724637681	631839.538912693
0.7662385466988728	591918.9326376017
0.7662720209339775	613710.3476925315
0.7663054951690821	734964.5760381311
0.7663389694041868	832575.3441891152
0.7663724436392915	868318.3163894584
0.7664059178743962	876662.568377192
0.7664393921095008	879477.9650659777
0.7664728663446055	881848.0727612588
0.7665063405797101	882769.944954766
0.7665398148148148	881518.7099031201
0.7665732890499195	876868.5040529115
0.7666067632850241	859632.9616209092
0.7666402375201288	800395.065678166
0.7666737117552335	699910.3778699529
0.7667071859903382	658108.5296482284
0.7667406602254428	690998.2420791319
0.7667741344605475	676848.8078875624
0.7668076086956522	655315.2650283126
0.7668410829307569	729168.5317565756
0.7668745571658615	825415.7710847919
0.7669080314009661	870022.3414757903
0.7669415056360708	880836.4294597674
0.7669749798711755	883427.1552774875
0.7670084541062802	885106.098984184
0.7670419283413848	885992.4174130615
0.7670754025764895	885943.315668702
0.7671088768115942	885056.145712363
0.7671423510466989	883016.2917134045
0.7671758252818035	873633.4362750691
0.7672092995169082	834768.4353427014
0.7672427737520129	758326.5306224453
0.7672762479871176	716752.0297556096
0.7673097222222223	741297.5036584112
0.7673431964573268	736511.7943339373
0.7673766706924315	713942.2831742166
0.7674101449275362	763694.2011437091
0.7674436191626409	839829.3319096093
0.7674770933977455	876064.7014017713
0.7675105676328502	884520.2925150892
0.7675440418679549	886295.8173532636
0.7675775161030596	887266.3180110928
0.7676109903381643	887724.7667211877
0.767644464573269	887755.1116296687
0.7676779388083736	887477.5850811255
0.7677114130434783	887063.4286317034
0.7677448872785829	885874.5740495566
0.7677783615136876	877560.6070093153
0.7678118357487922	844340.7441656889
0.7678453099838969	788768.5354849141
0.7678787842190016	768833.205016765
0.7679122584541063	788443.3944068011
0.767945732689211	776889.5077681554
0.7679792069243156	767693.9894979869
0.7680126811594203	814730.0731741283
0.7680461553945249	864817.234985205
0.7680796296296296	883902.9119949783
0.7681131038647343	887367.1203040666
0.768146578099839	888143.190328814
0.7681800523349437	888517.308070996
0.7682135265700483	888636.055910264
0.768247000805153	888608.7923092819
0.7682804750402576	888498.9228376526
0.7683139492753623	888451.8730249054
0.768347423510467	888344.4725992354
0.7683808977455716	886447.5995473521
0.7684143719806763	874590.2991792356
0.768447846215781	842027.0271226857
0.7684813204508857	810374.8243455336
0.7685147946859904	815459.9270438042
0.7685482689210951	821244.3919104458
0.7685817431561998	806572.4795069731
0.7686152173913043	821636.6373816857
0.768648691626409	860690.5030263694
0.7686821658615136	882567.5584545593
0.7687156400966183	887600.6769872388
0.768749114331723	888194.8791719296
0.7687825885668277	888204.7100024562
0.7688160628019324	888247.8879343276
0.7688495370370371	888176.2078502562
0.7688830112721418	887870.768925285
0.7689164855072464	887849.1172710937
0.768949959742351	888121.0598865716
0.7689834339774557	887784.3827464153
0.7690169082125604	886503.665779291
0.769050382447665	881538.0669590866
0.7690838566827697	863977.3411680522
0.7691173309178744	841195.4636935204
0.7691508051529791	839406.9159642294
0.7691842793880838	845583.5182582919
0.7692177536231884	837852.489224487
0.769251227858293	843225.0983379472
0.7692847020933977	866829.303830857
0.7693181763285024	882108.3467995933
0.7693516505636071	886079.7829585432
0.7693851247987118	887289.9962026163
0.7694185990338165	888045.1528617425
0.7694520732689211	887802.3993072169
0.7694855475040258	887255.9028761828
0.7695190217391304	887019.8483160143
0.769552495974235	886773.6683485331
0.7695859702093397	887120.998322689
0.7696194444444444	887827.0444679144
0.7696529186795491	887607.3747053172
0.7696863929146538	886695.0770776512
0.7697198671497585	883810.5073858656
0.7697533413848632	873749.6345100966
0.7697868156199679	862144.1333678579
0.7698202898550724	862952.8771268991
0.7698537640901771	865942.143252283
0.7698872383252817	860680.1229270978
0.7699207125603864	864328.2307972726
0.7699541867954911	878035.8574594881
0.7699876610305958	886002.028903193
0.7700211352657005	887123.6488908018
0.7700546095008052	887076.4040472418
0.7700880837359099	887694.3623724174
0.7701215579710144	887802.2508776269
0.7701550322061191	887414.7661986494
0.7701885064412238	887709.6181450607
0.7702219806763285	888379.4434902117
0.7702554549114332	888421.8111343267
0.7702889291465379	887754.7056689179
0.7703224033816425	887308.6410871563
0.7703558776167472	887671.3139682208
0.7703893518518519	887523.8948909584
0.7704228260869564	884816.0666540925
0.7704563003220611	879441.4708479804
0.7704897745571658	876463.2921946063
0.7705232487922705	878418.875212402
0.7705567230273752	877877.1798174251
0.7705901972624799	875899.403008002
0.7706236714975846	879868.6064815306
0.7706571457326893	885522.1401293508
0.7706906199677939	887920.668144713
0.7707240942028986	888255.8737897498
0.7707575684380031	888350.5902932419
0.7707910426731078	888510.5525697145
0.7708245169082125	888586.8097995642
0.7708579911433172	888590.9315077834
0.7708914653784219	888577.0681620663
0.7709249396135266	888561.3333842335
0.7709584138486313	888545.5516407709
0.7709918880837359	888529.7669285324
0.7710253623188406	888513.9418297387
0.7710588365539452	888492.3931718564
0.7710923107890499	888385.7791932364
0.7711257850241546	887723.3345279614
0.7711592592592592	885708.3396778189
0.7711927334943639	883440.9680341191
0.7712262077294686	883427.0960492379
0.7712596819645733	883962.615822453
0.771293156199678	883520.3447156324
0.7713266304347826	884698.5407738159
0.7713601046698872	886915.5963844084
0.7713935789049919	887789.2823309514
0.7714270531400966	887537.9834950728
0.7714605273752013	887328.161766686
0.771494001610306	887571.6675215284
0.7715274758454107	887507.2804703771
0.7715609500805154	886950.7605190352
0.77159442431562	886916.3319601415
0.7716278985507246	887566.9139566608
0.7716613727858292	888053.5222105164
