# Lambda	Flux
0.934	597531.4896748259
0.9340983634797588	571552.4708164239
0.9341967269595176	581578.7154839067
0.9342950904392765	639825.8168440525
0.9343934539190354	615926.0620526103
0.9344918173987943	475831.01041397295
0.934590180878553	367490.93493018387
0.9346885443583118	377892.48165417655
0.9347869078380707	477511.59938003105
0.9348852713178294	639389.2978975652
0.9349836347975883	802096.2634374673
0.9350819982773472	897252.3327655758
0.9351803617571058	928770.7551011817
0.9352787252368647	930131.2023843231
0.9353770887166236	904698.5925736402
0.9354754521963825	794621.6760583763
0.9355738156761412	619202.4409474062
0.9356721791559001	562561.6788675296
0.935770542635659	688677.416639028
0.9358689061154176	774981.623734483
0.9359672695951765	674084.7421676201
0.9360656330749354	583967.375244344
0.9361639965546943	707467.6840340869
0.9362623600344531	916515.4657427765
0.9363607235142118	1037981.1357671047
0.9364590869939707	1087303.008436792
0.9365574504737295	1083701.0416375212
0.9366558139534884	1001186.1999786217
0.9367541774332473	892323.4091713843
0.936852540913006	856777.0111769169
0.9369509043927648	920180.9341430815
0.9370492678725237	975499.8993890536
0.9371476313522826	908045.759356623
0.9372459948320413	798099.2245187764
0.9373443583118002	742710.5931881729
0.9374427217915591	823418.592865277
0.9375410852713177	1034758.456299729
0.9376394487510766	1195406.2266733788
0.9377378122308355	1232772.250252037
0.9378361757105944	1184969.2387331652
0.9379345391903531	1064381.2775689892
0.938032902670112	979471.9927836363
0.9381312661498709	1010320.4247155491
0.9382296296296295	996295.7554802843
0.9383279931093884	910547.2977927797
0.9384263565891473	964685.1432598124
0.938524720068906	1177948.1697875184
0.9386230835486649	1349682.485076856
0.9387214470284237	1376792.1350978091
0.9388198105081826	1238412.2626712627
0.9389181739879414	1077314.9349330913
0.9390165374677003	1146992.2892717095
0.9391149009474591	1377138.142949905
0.9392132644272179	1526389.237007448
0.9393116279069768	1549998.4429972093
0.9394099913867356	1537800.8387380352
0.9395083548664945	1563832.1022362697
0.9396067183462532	1602604.3285758193
0.9397050818260121	1620310.7705395059
0.939803445305771	1632812.3262840027
0.9399018087855296	1642776.3667698107
0.9400001722652885	1615604.9394484027
0.9400985357450474	1516755.77088751
0.9401968992248061	1452489.638860514
0.940295262704565	1482115.2264377514
0.9403936261843239	1526077.2383777155
0.9404919896640828	1558917.0814018352
0.9405903531438414	1592768.3676233336
0.9406887166236003	1624332.984403472
0.9407870801033592	1648162.5678316765
0.9408854435831179	1648674.7133512206
0.9409838070628768	1638393.3447449615
0.9410821705426357	1588364.2733106613
0.9411805340223945	1457305.274819041
0.9412788975021533	1361969.0485615826
0.9413772609819121	1446169.6475638538
0.941475624461671	1601322.25654429
0.9415739879414298	1676128.626649304
0.9416723514211887	1709173.7194252296
0.9417707149009475	1727532.1767336244
0.9418690783807062	1654389.3489676572
0.9419674418604651	1512378.5488902298
0.942065805340224	1501062.6600761446
0.9421641688199829	1634336.6377319326
0.9422625322997416	1691528.4929880204
0.9423608957795004	1628404.743448334
0.9424592592592593	1608489.4288973007
0.942557622739018	1699689.856926736
0.9426559862187769	1759612.0123609377
0.9427543496985358	1657930.5318601737
0.9428527131782947	1363241.3486591163
0.9429510766580533	1045527.669268103
0.9430494401378122	982049.7466261422
0.9431478036175711	1174931.286440768
0.9432461670973298	1365653.4607354875
0.9433445305770887	1499676.0475649573
0.9434428940568476	1684124.520019801
0.9435412575366064	1832932.561597451
0.9436396210163651	1887968.3662943556
0.943737984496124	1883224.8114747347
0.9438363479758829	1793350.5568057809
0.9439347114556417	1571402.0649111269
0.9440330749354006	1375711.5178590154
0.9441314384151593	1361695.4994418637
0.9442298018949181	1277112.120020098
0.944328165374677	1090015.561364852
0.9444265288544359	1121781.2685504132
0.9445248923341948	1292252.2192046554
0.9446232558139535	1445660.813923388
0.9447216192937123	1597590.5323952136
0.9448199827734712	1700411.3368471272
0.9449183462532299	1791545.0879340416
0.9450167097329888	1872206.1995720277
0.9451150732127477	1859154.546775242
0.9452134366925066	1803105.6476909542
0.9453118001722652	1819872.362927087
0.9454101636520241	1886077.319539769
0.945508527131783	1853426.773251517
0.9456068906115417	1659618.7424030579
0.9457052540913006	1454617.503175242
0.9458036175710595	1403095.0161487304
0.9459019810508181	1517145.8347658438
0.946000344530577	1710540.0165918982
0.9460987080103359	1733298.193167556
0.9461970714900948	1480746.64074392
0.9462954349698536	1239304.6473117864
0.9463937984496124	1326010.4747978754
0.9464921619293712	1653136.3428306195
0.94659052540913	1884468.6845755808
0.9466888888888889	1911596.9425300653
0.9467872523686478	1882962.5778104127
0.9468856158484066	1888407.0706792213
0.9469839793281654	1839441.759105321
0.9470823428079242	1695734.984033916
0.9471807062876831	1616459.4848969362
0.9472790697674418	1737526.980394015
0.9473774332472007	1933673.7822223247
0.9474757967269596	2019872.0825288098
0.9475741602067183	1938860.0761592188
0.9476725236864771	1766863.4422267564
0.947770887166236	1702557.5427576734
0.9478692506459949	1818767.8378571956
0.9479676141257536	1973982.2072519807
0.9480659776055125	2007155.849710482
0.9481643410852714	1818719.590925092
0.94826270456503	1475024.239402004
0.9483610680447889	1234906.594026735
0.9484594315245478	1322153.9332322509
0.9485577950043067	1679350.1012163814
0.9486561584840654	1977190.8873857507
0.9487545219638243	2060729.4073243428
0.9488528854435831	2039955.7760970592
0.9489512489233419	2040895.3517244149
0.9490496124031008	2097086.387165002
0.9491479758828596	2158910.000691785
0.9492463393626184	2179988.759207595
0.9493447028423773	2155791.9513449715
0.9494430663221362	2029556.9976465737
0.949541429801895	1732151.286703234
0.9496397932816537	1456508.6958636714
0.9497381567614126	1528206.1387708443
0.9498365202411715	1767663.5145724397
0.9499348837209302	1820318.378733476
0.950033247200689	1793974.4752406876
0.9501316106804479	1768330.6138309313
0.9502299741602068	1562491.1231148497
0.9503283376399655	1312853.1029710902
0.9504267011197244	1417597.6718727443
0.9505250645994833	1840767.3223716388
0.9506234280792419	2164779.2606161074
0.9507217915590008	2257720.757422392
0.9508201550387597	2271445.226032724
0.9509185185185184	2315260.4823336885
0.9510168819982773	2363606.840303997
0.9511152454780362	2387047.4806860164
0.951213608957795	2392417.9572244394
0.9513119724375538	2387363.9941654676
0.9514103359173126	2386697.7212073593
0.9515086993970715	2370636.729961408
0.9516070628768303	2337429.495667109
0.9517054263565892	2310074.3566901414
0.9518037898363481	2195113.0715970006
0.9519021533161068	1951448.5911579763
0.9520005167958656	1852730.0969973071
0.9520988802756245	1969366.791920018
0.9521972437553834	2077145.7879128887
0.9522956072351421	2103307.4998975433
0.952393970714901	1961933.7017644686
0.9524923341946598	1849239.7700820812
0.9525906976744185	2031810.0469398582
0.9526890611541774	2247002.0031566084
0.9527874246339363	2343102.444327839
0.9528857881136952	2402225.55844782
0.9529841515934538	2334348.2676401185
0.9530825150732127	2207267.423290335
0.9531808785529716	2265389.621479621
0.9532792420327303	2473882.21733715
0.9533776055124892	2613560.799179901
0.9534759689922481	2667592.936174254
0.953574332472007	2691631.9485189887
0.9536726959517656	2641183.68506923
0.9537710594315245	2474795.8096359526
0.9538694229112834	2376554.5758890333
0.9539677863910422	2503873.339076681
0.9540661498708011	2657749.845301072
0.9541645133505599	2715727.1005237815
0.9542628768303187	2683951.7955850638
0.9543612403100775	2635413.53623734
0.9544596037898364	2595423.9312401935
0.9545579672695953	2353282.5902106413
0.954656330749354	2071357.0729088653
0.9547546942291129	2186516.6712258197
0.9548530577088717	2528748.795711427
0.9549514211886304	2763818.797282049
0.9550497846683893	2850181.852105099
0.9551481481481482	2870002.8971586092
0.9552465116279071	2912862.751489197
0.9553448751076657	2950306.3140265374
0.9554432385874246	2851572.587453038
0.9555416020671835	2561227.294901057
0.9556399655469422	2370126.723382412
0.9557383290267011	2486858.478855237
0.95583669250646	2587575.705480368
0.9559350559862189	2512009.660793427
0.9560334194659775	2563641.2912858613
0.9561317829457364	2840676.606300907
0.9562301464254953	3095226.1665666504
0.9563285099052541	3163696.250858632
0.9564268733850129	3038488.554506904
0.9565252368647718	2834786.8430641443
0.9566236003445305	2689683.021775909
0.9567219638242894	2593880.013950113
0.9568203273040483	2531335.751219473
0.9569186907838071	2582766.1176992087
0.9570170542635659	2785628.582808464
0.9571154177433248	2952258.053008253
0.9572137812230836	3010777.075090544
0.9573121447028423	3021590.352903281
0.9574105081826012	3081845.3758018822
0.9575088716623601	3248628.409430411
0.957607235142119	3394957.9594877665
0.9577055986218777	3445193.445532641
0.9578039621016365	3427221.453693932
0.9579023255813954	3393989.253401897
0.9580006890611541	3376166.6617969093
0.958099052540913	3273606.0030286605
0.9581974160206719	2979032.694559438
0.9582957795004305	2702123.6497788867
0.9583941429801894	2752688.4814881445
0.9584925064599483	3104090.039770853
0.9585908699397072	3427004.647828586
0.9586892334194659	3541806.6737424447
0.9587875968992248	3513392.6545235612
0.9588859603789837	3421580.614605027
0.9589843238587424	3266402.9444176983
0.9590826873385013	3023676.7229642333
0.9591810508182601	2852321.692916367
0.959279414298019	2881372.793634385
0.9593777777777778	2952439.181661718
0.9594761412575367	3025717.8191853533
0.9595745047372956	3180504.4708260545
0.9596728682170542	3333183.2273725406
0.9597712316968131	3465343.5468611293
0.959869595176572	3553097.756209638
0.9599679586563307	3499815.912969948
0.9600663221360896	3396148.961541433
0.9601646856158484	3426238.4403664046
0.9602630490956073	3572001.1467428748
0.960361412575366	3695770.064836893
0.9604597760551249	3749437.1907080067
0.9605581395348838	3675266.719090601
0.9606565030146424	3426167.343971461
0.9607548664944013	3191193.971201808
0.9608532299741602	3237338.4413425545
0.9609515934539191	3446218.5053506433
0.9610499569336778	3559741.885964176
0.9611483204134367	3559206.467714834
0.9612466838931956	3543044.664197905
0.9613450473729542	3627256.159596194
0.9614434108527131	3754428.4349471102
0.961541774332472	3759020.5994663145
0.9616401378122308	3602240.462620473
0.9617385012919897	3433564.857330503
0.9618368647717486	3468380.823386505
0.9619352282515073	3593381.881955098
0.9620335917312661	3587151.6876170426
0.962131955211025	3518574.6948586246
0.9622303186907839	3411286.995164116
0.9623286821705426	3258682.8800759106
0.9624270456503015	3213408.9487306136
0.9625254091300603	3326242.2039645775
0.9626237726098192	3470888.7115090573
0.9627221360895779	3476675.6070391256
0.9628204995693368	3375491.2317681303
0.9629188630490957	3398549.122469966
0.9630172265288544	3559008.495010921
0.9631155900086132	3680792.8377354713
0.9632139534883721	3757336.355820125
0.9633123169681308	3823046.6230026577
0.9634106804478897	3862558.6880111154
0.9635090439276486	3867552.289622915
0.9636074074074075	3837194.58865882
