# Lambda	Flux
1.521	2556282.4491265146
1.5210297236322614	2557985.1033184077
1.5210594472645234	2559651.19013643
1.5210891708967849	2561260.2141910284
1.5211188945290468	2562849.9830659325
1.5211486181613083	2564446.144186531
1.52117834179357	2565988.9250549017
1.5212080654258318	2567392.7811142015
1.5212377890580935	2568667.990034208
1.5212675126903552	2569880.1385040376
1.521297236322617	2570879.2046648725
1.5213269599548784	2571775.0350963175
1.5213566835871404	2573012.0310345776
1.5213864072194019	2574653.08108813
1.5214161308516638	2576578.15470917
1.5214458544839253	2578547.7901283763
1.521475578116187	2580252.4272857583
1.5215053017484488	2581255.864522155
1.5215350253807105	2580224.1064743036
1.5215647490129722	2572688.2583196973
1.521594472645234	2557631.3795273826
1.5216241962774955	2551982.300102964
1.5216539199097574	2566087.2939384594
1.521683643542019	2581911.6101970375
1.5217133671742809	2587739.0044692224
1.5217430908065424	2585253.952571194
1.521772814438804	2569731.756993649
1.5218025380710658	2529110.366905876
1.5218322617033275	2470376.772470213
1.5218619853355893	2438106.9593305094
1.521891708967851	2469561.1276617907
1.5219214326001127	2535264.629561348
1.5219511562323744	2581008.779333453
1.521980879864636	2599230.69152728
1.5220106034968979	2605817.090687104
1.5220403271291594	2609125.366896346
1.5220700507614213	2611309.2085512425
1.5220997743936828	2613024.5479703713
1.5221294980259445	2614839.9231758392
1.5221592216582063	2616909.4877427956
1.522188945290468	2618893.800956609
1.5222186689227297	2620701.858361731
1.5222483925549914	2622416.852758575
1.522278116187253	2623984.386148137
1.522307839819515	2625125.789203619
1.5223375634517764	2625097.2416738127
1.5223672870840383	2623441.7034851774
1.5223970107162998	2621485.6261652657
1.5224267343485616	2621266.838049078
1.5224564579808233	2624487.2838576604
1.522486181613085	2630075.89595321
1.5225159052453467	2634372.9025741816
1.5225456288776085	2636489.125276965
1.52257535250987	2637578.885378635
1.522605076142132	2638661.99958385
1.5226347997743934	2640310.306659796
1.5226645234066554	2642701.2023036852
1.5226942470389169	2645342.800157306
1.5227239706711786	2647631.9078981024
1.5227536943034403	2649517.0412910413
1.522783417935702	2651205.0551751615
1.5228131415679638	2652833.0558430366
1.5228428652002255	2654327.3961421684
1.522872588832487	2655302.4789716387
1.522902312464749	2655209.7650786275
1.5229320360970104	2654923.4239156307
1.5229617597292724	2656656.334855067
1.522991483361534	2659911.0559417
1.5230212069937956	2662706.821195564
1.5230509306260573	2664870.9495327817
1.523080654258319	2666758.667929091
1.5231103778905808	2668448.615079473
1.5231401015228425	2669995.445192758
1.523169825155104	2671389.102608016
1.523199548787366	2672534.18889897
1.5232292724196275	2673480.449357065
1.5232589960518894	2674475.2028278173
1.523288719684151	2675395.824925727
1.5233184433164126	2675252.797394699
1.5233481669486744	2671605.244910392
1.523377890580936	2657473.039892706
1.5234076142131978	2625886.0146768736
1.5234373378454595	2598593.005346481
1.523467061477721	2611945.6358653787
1.523496785109983	2649860.042834953
1.5235265087422445	2675625.166493408
1.5235562323745064	2685543.1638214597
1.523585956006768	2688017.540059148
1.5236156796390297	2686477.6598199834
1.5236454032712914	2684904.326356215
1.5236751269035531	2688367.426446948
1.5237048505358148	2694829.990095691
1.5237345741680766	2699453.698158817
1.5237642978003383	2701981.535640099
1.5237940214326	2703804.627909587
1.5238237450648615	2705613.944339386
1.5238534686971235	2707560.3133278047
1.523883192329385	2709446.967708333
1.523912915961647	2711048.840569414
1.5239426395939084	2712186.2139982986
1.5239723632261701	2712983.095088956
1.5240020868584319	2714236.9550561346
1.5240318104906936	2716295.011350902
