# Lambda	Flux
0.765	2663068.7714200015
0.7650334742351047	2457386.6163253845
0.7650669484702094	2001087.2030926785
0.765100422705314	1522566.6114201923
0.7651338969404187	1459237.074738077
0.7651673711755234	1570569.8592787469
0.765200845410628	1448921.6346096757
0.7652343196457326	1492428.870577906
0.7652677938808373	1961859.096603201
0.765301268115942	2434185.8688830193
0.7653347423510467	2661036.5638973042
0.7653682165861514	2733126.438160699
0.7654016908212561	2747177.1155406507
0.7654351650563607	2756616.3181071207
0.7654686392914654	2761676.4473674903
0.76550211352657	2725869.1344602425
0.7655355877616747	2577483.5655928715
0.7655690619967794	2214988.2096680207
0.7656025362318841	1768845.7309273134
0.7656360104669888	1668873.0668255982
0.7656694847020934	1795893.6383615278
0.7657029589371981	1695004.1223334924
0.7657364331723027	1685079.9072513315
0.7657699074074074	2082697.0699574596
0.765803381642512	2509900.2758402647
0.7658368558776167	2710609.300310027
0.7658703301127214	2768366.2659411263
0.7659038043478261	2781591.18085401
0.7659372785829308	2791843.5140329525
0.7659707528180355	2798936.46061802
0.7660042270531401	2790920.714108882
0.7660377012882448	2750301.2141289334
0.7660711755233494	2609644.8176357746
0.766104649758454	2270149.4504467957
0.7661381239935587	1924665.3349953925
0.7661715982286634	1929739.846419679
0.7662050724637681	2017543.2293153286
0.7662385466988728	1890071.707522389
0.7662720209339775	1959654.4392692468
0.7663054951690821	2346834.4539043307
0.7663389694041868	2658517.915089021
0.7663724436392915	2772649.6843099142
0.7664059178743962	2799293.839434943
0.7664393921095008	2808283.673152515
0.7664728663446055	2815851.747140442
0.7665063405797101	2818795.4989374047
0.7665398148148148	2814800.2223006506
0.7665732890499195	2799951.552858692
0.7666067632850241	2744916.3002864667
0.7666402375201288	2555762.2434941144
0.7666737117552335	2234901.9873492247
0.7667071859903382	2101423.423827924
0.7667406602254428	2206444.4160012747
0.7667741344605475	2161263.4914649306
0.7668076086956522	2092504.1783063712
0.7668410829307569	2328326.9557218794
0.7668745571658615	2635656.5050042295
0.7669080314009661	2778090.897993059
0.7669415056360708	2812621.641812785
0.7669749798711755	2820894.1553796185
0.7670084541062802	2826255.2339247866
0.7670419283413848	2829085.360213624
0.7670754025764895	2828928.572177168
0.7671088768115942	2826095.7268786365
0.7671423510466989	2819582.216376456
0.7671758252818035	2789621.5782042793
0.7672092995169082	2665520.7391197933
0.7672427737520129	2421432.1163240112
0.7672762479871176	2288679.5019698045
0.7673097222222223	2367056.2896352033
0.7673431964573268	2351774.916318525
0.7673766706924315	2279707.62365542
0.7674101449275362	2438571.7574352734
0.7674436191626409	2681680.811628441
0.7674770933977455	2797384.9057430266
0.7675105676328502	2824384.672519926
0.7675440418679549	2830054.150307229
0.7675775161030596	2833153.0839450825
0.7676109903381643	2834616.969216842
0.767644464573269	2834713.8644120074
0.7676779388083736	2833827.6872025738
0.7677114130434783	2832505.23351974
0.7677448872785829	2828709.071211528
0.7677783615136876	2802161.528195269
0.7678118357487922	2696086.3255515946
0.7678453099838969	2518637.2691962775
0.7678787842190016	2454981.2498819623
0.7679122584541063	2517599.0527816964
0.767945732689211	2480706.0385663477
0.7679792069243156	2451343.591346282
0.7680126811594203	2601535.7264266675
0.7680461553945249	2761470.3374860287
0.7680796296296296	2822413.3059262
0.7681131038647343	2833474.9589650347
0.768146578099839	2835953.048189343
0.7681800523349437	2837147.6531946026
0.7682135265700483	2837526.829919561
0.768247000805153	2837439.77316526
0.7682804750402576	2837088.942093508
0.7683139492753623	2836938.694827677
0.768347423510467	2836595.7403365886
0.7683808977455716	2830538.784082526
0.7684143719806763	2792676.935932753
0.768447846215781	2688698.320136376
0.7684813204508857	2587628.863421532
0.7685147946859904	2603866.2400411125
0.7685482689210951	2622336.7616950935
0.7685817431561998	2575487.488249071
0.7686152173913043	2623589.227449376
0.768648691626409	2748293.1354326154
0.7686821658615136	2818149.335584346
0.7687156400966183	2834220.7182233627
0.768749114331723	2836118.078428385
0.7687825885668277	2836149.4691925067
0.7688160628019324	2836287.3388741473
0.7688495370370371	2836058.445447966
0.7688830112721418	2835083.13647608
0.7689164855072464	2835014.0108949696
0.768949959742351	2835882.361499606
0.7689834339774557	2834807.297639032
0.7690169082125604	2830717.8077137647
0.769050382447665	2814862.0411067717
0.7690838566827697	2758788.4426407474
0.7691173309178744	2686043.040228751
0.7691508051529791	2680331.978013095
0.7691842793880838	2700054.645317566
0.7692177536231884	2675368.500487567
0.769251227858293	2692523.920450041
0.7692847020933977	2767895.1166060744
0.7693181763285024	2816683.0113301473
0.7693516505636071	2829364.2707344075
0.7693851247987118	2833228.5877207485
0.7694185990338165	2835639.9038479105
0.7694520732689211	2834864.8109165193
0.7694855475040258	2833119.809586358
0.7695190217391304	2832366.0654165614
0.769552495974235	2831579.9819753026
0.7695859702093397	2832689.051464612
0.7696194444444444	2834943.5487404973
0.7696529186795491	2834242.1150223548
0.7696863929146538	2831329.0316453474
0.7697198671497585	2822118.2380940765
0.7697533413848632	2789992.6038610283
0.7697868156199679	2752934.7751498693
0.7698202898550724	2755517.1972820587
0.7698537640901771	2765062.3027953054
