# Lambda	Flux
0.934	1907992.962537599
0.9340983634797588	1825038.7198201464
0.9341967269595176	1857053.932034748
0.9342950904392765	2043044.3505111951
0.9343934539190354	1966729.4511280577
0.9344918173987943	1519388.3208422808
0.934590180878553	1173444.8199675237
0.9346885443583118	1206658.2687316597
0.9347869078380707	1524754.654629747
0.9348852713178294	2041650.522849901
0.9349836347975883	2561194.3387999325
0.9350819982773472	2865039.6396561675
0.9351803617571058	2965681.9277352844
0.9352787252368647	2970026.0092961653
0.9353770887166236	2888816.4895482813
0.9354754521963825	2537327.0471571414
0.9355738156761412	1977191.3529347088
0.9356721791559001	1796330.2700328606
0.935770542635659	2199033.6965870135
0.9358689061154176	2474613.8926644092
0.9359672695951765	2152437.4515439863
0.9360656330749354	1864681.3552608665
0.9361639965546943	2259033.388228269
0.9362623600344531	2926549.2647129046
0.9363607235142118	3314404.432950716
0.9364590869939707	3471895.3786409153
0.9365574504737295	3460393.846982883
0.9366558139534884	3196913.5775030926
0.9367541774332473	2849300.98894454
0.936852540913006	2735796.8675374654
0.9369509043927648	2938253.5737394206
0.9370492678725237	3114893.992061479
0.9371476313522826	2899504.435291426
0.9372459948320413	2548431.3122108504
0.9373443583118002	2371568.4379920447
0.9374427217915591	2629279.2072696653
0.9375410852713177	3304113.7428102964
0.9376394487510766	3817081.235042774
0.9377378122308355	3936393.318455457
0.9378361757105944	3783750.7095259894
0.9379345391903531	3398699.919013614
0.938032902670112	3127576.2494322644
0.9381312661498709	3226080.1247666585
0.9382296296296295	3181297.7712049237
0.9383279931093884	2907492.1524613635
0.9384263565891473	3080361.050173445
0.938524720068906	3761336.6443422143
0.9386230835486649	4309705.9295582045
0.9387214470284237	4396270.5420453325
0.9388198105081826	3954406.2347294036
0.9389181739879414	3440002.1948438133
0.9390165374677003	3662490.765029601
0.9391149009474591	4397375.452439115
0.9392132644272179	4873952.983200776
0.9393116279069768	4949340.151459643
0.9394099913867356	4910391.668535823
0.9395083548664945	4993512.769042584
0.9396067183462532	5117317.365946686
0.9397050818260121	5173856.2576178005
0.939803445305771	5213775.269696707
0.9399018087855296	5245591.654083117
0.9400001722652885	5158829.861083715
0.9400985357450474	4843192.075595363
0.9401968992248061	4637982.217572037
0.940295262704565	4732580.206683403
0.9403936261843239	4872955.951921681
0.9404919896640828	4977817.53318534
0.9405903531438414	5085909.367452194
0.9406887166236003	5186699.563338605
0.9407870801033592	5262790.548723354
0.9408854435831179	5264425.911239979
0.9409838070628768	5231596.209452834
0.9410821705426357	5071847.091036629
0.9411805340223945	4653359.219936253
0.9412788975021533	4348938.6535284
0.9413772609819121	4617801.761769257
0.941475624461671	5113223.563776788
0.9415739879414298	5352089.714780034
0.9416723514211887	5457606.850996613
0.9417707149009475	5516227.703636687
0.9418690783807062	5282673.427811626
0.9419674418604651	4829214.997509168
0.942065805340224	4793081.579074513
0.9421641688199829	5218641.361597658
0.9422625322997416	5401261.839932873
0.9423608957795004	5199700.363378099
0.9424592592592593	5136108.726566265
0.942557622739018	5427323.379912098
0.9426559862187769	5618662.553281746
0.9427543496985358	5293980.893677331
0.9428527131782947	4353001.2713386975
0.9429510766580533	3338501.5053390674
0.9430494401378122	3135808.507293169
0.9431478036175711	3751703.544519289
0.9432461670973298	4360703.451480537
0.9433445305770887	4788654.436828973
0.9434428940568476	5377621.617031381
0.9435412575366064	5852784.41427239
0.9436396210163651	6028520.661985605
0.943737984496124	6013373.895281425
0.9438363479758829	5726394.081148317
0.9439347114556417	5017684.468469173
0.9440330749354006	4392819.146013721
0.9441314384151593	4348062.3556750715
0.9442298018949181	4077976.067888959
0.944328165374677	3480554.8399265828
0.9444265288544359	3581988.1737583266
0.9445248923341948	4126323.934808951
0.9446232558139535	4616176.991629138
0.9447216192937123	5101307.707377934
0.9448199827734712	5429627.4494678965
0.9449183462532299	5720628.926065875
0.9450167097329888	5978189.969914067
0.9451150732127477	5936514.445683119
0.9452134366925066	5757543.31318578
0.9453118001722652	5811081.563055746
0.9454101636520241	6022482.321241617
0.945508527131783	5918225.020263524
0.9456068906115417	5299371.595035957
0.9457052540913006	4644776.8397103045
0.9458036175710595	4480259.017755124
0.9459019810508181	4844437.352627744
0.946000344530577	5461968.353943088
0.9460987080103359	5534637.218823724
0.9461970714900948	4728209.062579879
0.9462954349698536	3957255.3709117314
0.9463937984496124	4234118.339703086
0.9464921619293712	5278672.473426153
0.94659052540913	6017345.753865575
0.9466888888888889	6103969.694976109
0.9467872523686478	6012536.566787702
0.9468856158484066	6029921.517971415
0.9469839793281654	5873569.118503673
0.9470823428079242	5414695.305299052
0.9471807062876831	5161558.661471051
0.9472790697674418	5548142.407816919
0.9473774332472007	6174463.821454897
0.9474757967269596	6449705.836213706
0.9475741602067183	6191024.287854979
0.9476725236864771	5641817.162598246
0.947770887166236	5436479.1642207
0.9478692506459949	5807550.570927672
0.9479676141257536	6303168.022976956
0.9480659776055125	6409097.851930215
0.9481643410852714	5807399.742702123
0.94826270456503	4709938.029586409
0.9483610680447889	3943212.256944874
0.9484594315245478	4221803.998936231
0.9485577950043067	5362376.318241143
0.9486561584840654	6313419.423055182
0.9487545219638243	6580168.426866878
0.9488528854435831	6513835.609717232
0.9489512489233419	6516835.793386315
0.9490496124031008	6696260.838469665
0.9491479758828596	6893671.413589765
0.9492463393626184	6960978.541439191
0.9493447028423773	6883715.09089134
0.9494430663221362	6480631.004608618
0.949541429801895	5530977.151106514
0.9496397932816537	4650815.669681709
0.9497381567614126	4879754.628882764
0.9498365202411715	5644372.164332006
0.9499348837209302	5812505.771537458
0.950033247200689	5728386.37356923
0.9501316106804479	5646502.295807616
0.9502299741602068	4989230.864083739
0.9503283376399655	4192105.043138989
0.9504267011197244	4526566.967258365
0.9505250645994833	5877799.887970875
0.9506234280792419	6912410.961135883
0.9507217915590008	7209185.950176684
0.9508201550387597	7253010.451669399
0.9509185185185184	7392918.178939973
0.9510168819982773	7547294.190987573
0.9511152454780362	7622143.106012513
