# Lambda	Flux
1.521	2578648.6703313948
1.5210297236322614	2583407.732408814
1.5210594472645234	2583575.0150107164
1.5210891708967849	2586459.262055766
1.5211188945290468	2584979.8718522685
1.5211486181613083	2590301.647877446
1.52117834179357	2585972.0126728304
1.5212080654258318	2584474.666098504
1.5212377890580935	2589786.280089123
1.5212675126903552	2590449.424061982
1.521297236322617	2593641.777500168
1.5213269599548784	2595458.7268469697
1.5213566835871404	2597525.4018065203
1.5213864072194019	2601878.537492853
1.5214161308516638	2604191.421933686
1.5214458544839253	2603644.6387036685
1.521475578116187	2606171.653775986
1.5215053017484488	2604961.2219378557
1.5215350253807105	2608022.292224657
1.5215647490129722	2610306.1020630426
1.521594472645234	2606794.7920569084
1.5216241962774955	2613199.537878366
1.5216539199097574	2616832.0711497916
1.521683643542019	2617708.440080126
1.5217133671742809	2614102.601264542
1.5217430908065424	2621228.6341563365
1.521772814438804	2618183.1930123
1.5218025380710658	2623507.1470045154
1.5218322617033275	2621093.0215089167
1.5218619853355893	2625808.0761437737
1.521891708967851	2626961.7742516776
1.5219214326001127	2631246.986196046
1.5219511562323744	2626956.899178018
1.521980879864636	2629510.885708398
1.5220106034968979	2630945.0096652056
1.5220403271291594	2631188.074937535
1.5220700507614213	2632663.4617787567
1.5220997743936828	2638244.9874380874
1.5221294980259445	2640168.3707433124
1.5221592216582063	2641602.3859336386
1.522188945290468	2642987.2940132394
1.5222186689227297	2644959.3901309944
1.5222483925549914	2645686.05313073
1.522278116187253	2646541.23918773
1.522307839819515	2645558.2516382653
1.5223375634517764	2648353.04105722
1.5223672870840383	2652837.9655884895
1.5223970107162998	2652075.803477246
1.5224267343485616	2652455.571162541
1.5224564579808233	2655915.648827789
1.522486181613085	2661443.2330000517
1.5225159052453467	2663718.7218335853
1.5225456288776085	2662638.2550909556
1.52257535250987	2663283.7625094503
1.522605076142132	2664303.4104640177
1.5226347997743934	2667540.296625067
1.5226645234066554	2667444.4819159056
1.5226942470389169	2666843.2346220105
1.5227239706711786	2671048.393339735
