# Lambda	Flux
0.765	2952673.4012917816
0.7650334742351047	2957217.236593781
0.7650669484702094	2935015.346998339
0.765100422705314	2993054.0085311015
0.7651338969404187	2975826.937624562
0.7651673711755234	2930261.0299844705
0.765200845410628	2922850.5803265697
0.7652343196457326	2937791.5492116846
0.7652677938808373	2932346.63860112
0.765301268115942	2955884.5583944246
0.7653347423510467	2953294.2884392072
0.7653682165861514	2955510.993263853
0.7654016908212561	2947491.159320653
0.7654351650563607	2951857.196946822
0.7654686392914654	2947387.3267132337
0.76550211352657	2948829.583470708
0.7655355877616747	2948344.1789631154
0.7655690619967794	2943819.908008234
0.7656025362318841	2934189.2239597165
0.7656360104669888	2951009.3002888355
0.7656694847020934	2971951.2712105233
0.7657029589371981	2919034.226649815
0.7657364331723027	2972326.1637605857
0.7657699074074074	2949465.9078501742
0.765803381642512	2961995.2537413826
0.7658368558776167	2945077.4621542334
0.7658703301127214	2953442.284287486
0.7659038043478261	2948619.113166473
0.7659372785829308	2949118.698020398
0.7659707528180355	2954904.9247857593
0.7660042270531401	2954658.510147493
0.7660377012882448	2950327.0140669416
0.7660711755233494	2951862.7186511117
0.766104649758454	2967263.37980357
0.7661381239935587	2940306.0339916134
0.7661715982286634	2933656.9733485323
0.7662050724637681	2958680.3466506316
0.7662385466988728	2950026.581607967
0.7662720209339775	2949218.1602090956
0.7663054951690821	2938849.271631992
0.7663389694041868	2951321.08211302
0.7663724436392915	2951158.570156163
0.7664059178743962	2952495.8400651105
0.7664393921095008	2953783.467682345
0.7664728663446055	2951106.7229481614
0.7665063405797101	2953665.7794933612
0.7665398148148148	2950844.118550489
0.7665732890499195	2953806.815437606
0.7666067632850241	2956304.462038474
0.7666402375201288	2953825.1404896183
0.7666737117552335	2931295.709892805
0.7667071859903382	2973550.778098166
0.7667406602254428	2946012.7772531435
0.7667741344605475	2941621.079715067
0.7668076086956522	2940165.285506522
0.7668410829307569	2957041.0924581653
0.7668745571658615	2950215.2760309153
0.7669080314009661	2950506.3035158357
0.7669415056360708	2953650.585777903
0.7669749798711755	2953135.390186234
0.7670084541062802	2951659.672850621
0.7670419283413848	2950794.7447261377
0.7670754025764895	2955053.3468038547
0.7671088768115942	2950238.46545306
0.7671423510466989	2949669.69459919
0.7671758252818035	2952127.024192641
0.7672092995169082	2959837.855908574
0.7672427737520129	2948785.7563050557
0.7672762479871176	2946542.515052756
0.7673097222222223	2955444.6904934035
0.7673431964573268	2946712.7570806877
0.7673766706924315	2933254.6192397936
0.7674101449275362	2953762.3119160295
0.7674436191626409	2948330.567690951
0.7674770933977455	2952381.3973579947
0.7675105676328502	2947544.7449417994
0.7675440418679549	2948416.041839468
0.7675775161030596	2949417.8916085646
0.7676109903381643	2951838.3151808525
0.767644464573269	2946512.5955380206
0.7676779388083736	2953034.0053543206
0.7677114130434783	2951180.425623204
0.7677448872785829	2949541.4539164705
0.7677783615136876	2951120.2645104188
0.7678118357487922	2951670.270213761
0.7678453099838969	2951266.65583112
0.7678787842190016	2942713.1545230164
0.7679122584541063	2949403.8088844395
0.767945732689211	2945702.7302493234
0.7679792069243156	2943699.328952883
0.7680126811594203	2943930.798156761
0.7680461553945249	2945719.2729591457
0.7680796296296296	2951402.6914898506
0.7681131038647343	2950380.4192958428
0.768146578099839	2949959.3577416143
0.7681800523349437	2951765.954508148
0.7682135265700483	2954510.423145525
0.768247000805153	2951198.1122895326
0.7682804750402576	2949666.37331485
0.7683139492753623	2953483.667151226
0.768347423510467	2946925.4164163945
0.7683808977455716	2953432.2790403436
0.7684143719806763	2954438.3520120243
0.768447846215781	2951070.867577386
0.7684813204508857	2949253.20526101
0.7685147946859904	2946516.453869134
0.7685482689210951	2953229.177954155
0.7685817431561998	2947390.624755763
0.7686152173913043	2950679.5123216137
0.768648691626409	2953085.6441679583
0.7686821658615136	2949053.087521003
0.7687156400966183	2947287.3907932094
0.768749114331723	2949613.174922886
0.7687825885668277	2948336.753412503
0.7688160628019324	2949498.616684735
0.7688495370370371	2951317.014152512
0.7688830112721418	2949567.7086728904
0.7689164855072464	2955938.4540232006
0.768949959742351	2951797.122303762
0.7689834339774557	2952751.8643527757
0.7690169082125604	2949755.581641672
0.769050382447665	2949915.4343303503
0.7690838566827697	2954925.0186326066
0.7691173309178744	2947877.267147052
0.7691508051529791	2950079.3150028638
0.7691842793880838	2947204.2207182357
0.7692177536231884	2949852.8747807536
0.769251227858293	2952731.6849273234
0.7692847020933977	2953405.164230807
0.7693181763285024	2952072.0552275954
0.7693516505636071	2954783.5978712565
0.7693851247987118	2953433.6644727425
0.7694185990338165	2950496.6824984914
0.7694520732689211	2949820.598561683
0.7694855475040258	2950909.241923261
0.7695190217391304	2949666.8484377665
0.769552495974235	2950461.183326699
0.7695859702093397	2949434.2706234977
0.7696194444444444	2949572.5822130977
0.7696529186795491	2947345.552703694
0.7696863929146538	2953086.9429502506
0.7697198671497585	2951191.27341452
0.7697533413848632	2947500.231235176
0.7697868156199679	2948329.1308646407
0.7698202898550724	2949436.674880568
0.7698537640901771	2948550.2098643812
0.7698872383252817	2949198.4844137747
0.7699207125603864	2947162.5348686497
0.7699541867954911	2948553.0169312856
0.7699876610305958	2948181.4627186446
0.7700211352657005	2950588.506534093
0.7700546095008052	2950228.154923828
0.7700880837359099	2950800.780729904
0.7701215579710144	2948518.4827899006
0.7701550322061191	2951119.181230531
0.7701885064412238	2954360.7916980954
0.7702219806763285	2949548.9506344926
0.7702554549114332	2948129.6533147944
0.7702889291465379	2949921.246057766
0.7703224033816425	2950984.04981208
0.7703558776167472	2951403.9402425853
0.7703893518518519	2953719.359516112
0.7704228260869564	2949831.7651481815
0.7704563003220611	2951691.039566294
0.7704897745571658	2950182.011816783
0.7705232487922705	2951138.2856808733
0.7705567230273752	2949389.7299845833
0.7705901972624799	2949982.143486028
0.7706236714975846	2949000.146216855
0.7706571457326893	2951125.648809168
0.7706906199677939	2947333.0628027255
