# Lambda	Flux
0.934	2632523.5170105025
0.9340983634797588	2680913.999899694
0.9341967269595176	2724612.247975181
0.9342950904392765	2774354.5088438527
0.9343934539190354	2821793.255475824
0.9344918173987943	2899782.445734629
0.934590180878553	2936926.5851726937
0.9346885443583118	2950332.145471898
0.9347869078380707	3032188.6942841522
0.9348852713178294	3059229.8109362493
0.9349836347975883	3129678.473743578
0.9350819982773472	3186152.9973252155
0.9351803617571058	3237322.2071969924
0.9352787252368647	3285885.3365748003
0.9353770887166236	3328699.271015558
0.9354754521963825	3388169.7384031145
0.9355738156761412	3411729.9496715856
0.9356721791559001	3458665.1985336524
0.935770542635659	3535621.9199783397
0.9358689061154176	3580892.2657756964
0.9359672695951765	3638881.2914397507
0.9360656330749354	3712346.620126033
0.9361639965546943	3740885.162727648
0.9362623600344531	3788466.8552946076
0.9363607235142118	3830412.4870681316
0.9364590869939707	3899700.337126222
0.9365574504737295	3949522.6398441507
0.9366558139534884	3986643.543507857
0.9367541774332473	4063101.6854069387
0.936852540913006	4087654.1262986464
0.9369509043927648	4154442.26954803
0.9370492678725237	4200940.235861372
0.9371476313522826	4237363.545738816
0.9372459948320413	4294007.201941685
0.9373443583118002	4313377.957031551
0.9374427217915591	4403001.953411507
0.9375410852713177	4431143.081032129
0.9376394487510766	4497582.248858246
0.9377378122308355	4543977.530936612
0.9378361757105944	4592640.136205798
0.9379345391903531	4645685.870642391
0.938032902670112	4724806.62209212
0.9381312661498709	4733074.95862719
0.9382296296296295	4760144.867925776
0.9383279931093884	4812903.446571198
0.9384263565891473	4924921.979390377
0.938524720068906	4937166.197938555
0.9386230835486649	5005826.287578675
0.9387214470284237	5045067.190673901
0.9388198105081826	5100592.644421918
0.9389181739879414	5094925.30588449
0.9390165374677003	5206272.516834067
0.9391149009474591	5258363.098778852
0.9392132644272179	5298058.113187608
0.9393116279069768	5351069.033122527
0.9394099913867356	5410325.018588612
0.9395083548664945	5457928.969508155
0.9396067183462532	5492616.805526824
0.9397050818260121	5560081.417864393
0.939803445305771	5611625.4769297885
0.9399018087855296	5665701.877840445
0.9400001722652885	5724552.093298337
0.9400985357450474	5722222.1869851975
0.9401968992248061	5741601.59403979
0.940295262704565	5744691.211827222
0.9403936261843239	5783485.808570582
0.9404919896640828	5801012.757443713
0.9405903531438414	5829273.52178558
0.9406887166236003	5838282.008964585
0.9407870801033592	5852700.22819668
