# Lambda	ivar
1.521	3.9045976870548895e-07
1.5210297236322614	3.9020035646761524e-07
1.5210594472645234	3.899468490222032e-07
1.5210891708967849	3.897023365833017e-07
1.5211188945290468	3.8946105119486e-07
1.5211486181613083	3.8921909603331284e-07
1.52117834179357	3.889855181037561e-07
1.5212080654258318	3.8877321696369556e-07
1.5212377890580935	3.885805715284635e-07
1.5212675126903552	3.8839762952848936e-07
1.521297236322617	3.8824697616978335e-07
1.5213269599548784	3.881119895116223e-07
1.5213566835871404	3.879257491120707e-07
1.5213864072194019	3.876789505356288e-07
1.5214161308516638	3.873898374162857e-07
1.5214458544839253	3.8709447783829225e-07
1.521475578116187	3.868392198021463e-07
1.5215053017484488	3.86689119149783e-07
1.5215350253807105	3.868434580435655e-07
1.5215647490129722	3.879744791158332e-07
1.521594472645234	3.902542219107955e-07
1.5216241962774955	3.911164686184778e-07
1.5216539199097574	3.88970635611139e-07
1.521683643542019	3.8659109174419167e-07
1.5217133671742809	3.8572212955078136e-07
1.5217430908065424	3.860922143593316e-07
1.521772814438804	3.884200157563261e-07
1.5218025380710658	3.946468185042091e-07
1.5218322617033275	4.0401141215194973e-07
1.5218619853355893	4.0934823922679954e-07
1.521891708967851	4.0414459002595515e-07
1.5219214326001127	3.9369063839260947e-07
1.5219511562323744	3.867260699976577e-07
1.521980879864636	3.8401992377206567e-07
1.5220106034968979	3.830510692587428e-07
1.5220403271291594	3.8256626640639865e-07
1.5220700507614213	3.8224691279925864e-07
1.5220997743936828	3.819964441517861e-07
1.5221294980259445	3.8173172584411484e-07
1.5221592216582063	3.814303887718705e-07
1.522188945290468	3.811419108858e-07
1.5222186689227297	3.8087943565209247e-07
1.5222483925549914	3.8063080249917625e-07
1.522278116187253	3.8040383191536544e-07
1.522307839819515	3.8023873611800555e-07
1.5223375634517764	3.8024286658754746e-07
1.5223672870840383	3.804823842779482e-07
1.5223970107162998	3.807657707550931e-07
1.5224267343485616	3.8079749396391733e-07
1.5224564579808233	3.803310795710073e-07
1.522486181613085	3.7952439165228567e-07
1.5225159052453467	3.78906463763702e-07
1.5225456288776085	3.7860288085587976e-07
1.52257535250987	3.784467389358408e-07
1.522605076142132	3.782916768098322e-07
1.5226347997743934	3.7805594349076987e-07
1.5226645234066554	3.7771453020914824e-07
1.5226942470389169	3.7733803363543234e-07
1.5227239706711786	3.770123823901325e-07
1.5227536943034403	3.767446212684178e-07
1.522783417935702	3.7650517703557195e-07
1.5228131415679638	3.762745318206818e-07
1.5228428652002255	3.760630752244739e-07
1.522872588832487	3.7592522689121884e-07
1.522902312464749	3.759383348108002e-07
1.5229320360970104	3.7597881528618633e-07
1.5229617597292724	3.7573401428796144e-07
1.522991483361534	3.7527508761682795e-07
1.5230212069937956	3.748817688093683e-07
1.5230509306260573	3.7457787666608594e-07
1.523080654258319	3.743132007163361e-07
1.5231103778905808	3.740765712807095e-07
1.5231401015228425	3.738602434512239e-07
1.523169825155104	3.736655513452747e-07
1.523199548787366	3.7350573599609524e-07
1.5232292724196275	3.733737731495707e-07
1.5232589960518894	3.7323514809968726e-07
1.523288719684151	3.731069454042905e-07
1.5233184433164126	3.731268572263871e-07
1.5233481669486744	3.7363537508953684e-07
1.523377890580936	3.7561875224833926e-07
1.5234076142131978	3.801288603700797e-07
1.5234373378454595	3.8411399053338817e-07
1.523467061477721	3.821539484133417e-07
1.523496785109983	3.7669594665892285e-07
1.5235265087422445	3.730750222824123e-07
1.5235562323745064	3.7169967481589274e-07
1.523585956006768	3.7135812749788003e-07
1.5236156796390297	3.7157060916982e-07
1.5236454032712914	3.717879581929423e-07
1.5236751269035531	3.71309882214705e-07
1.5237048505358148	3.704210146948608e-07
1.5237345741680766	3.697876723622358e-07
1.5237642978003383	3.6944233126594245e-07
1.5237940214326	3.6919366919350934e-07
1.5238237450648615	3.68947216818477e-07
1.5238534686971235	3.6868246320264827e-07
1.523883192329385	3.6842619464151277e-07
1.523912915961647	3.6820888810314233e-07
1.5239426395939084	3.680547418620863e-07
1.5239723632261701	3.679464660974099e-07
1.5240020868584319	3.6777277927900856e-07
1.5240318104906936	3.674740675179621e-07
1.5240615341229553	3.671594985431833e-07
1.524091257755217	3.6691832645153804e-07
1.5241209813874785	3.6671274472852667e-07
1.5241507050197405	3.6649293197371163e-07
1.524180428652002	3.662828212690111e-07
1.524210152284264	3.661268202917362e-07
1.5242398759165254	3.66029035990904e-07
1.5242695995487872	3.6590854018039623e-07
1.5242993231810489	3.657713776972754e-07
1.5243290468133106	3.6598278582836634e-07
1.5243587704455723	3.6707821932078406e-07
1.524388494077834	3.685485338648337e-07
1.5244182177100956	3.690171276726652e-07
1.5244479413423575	3.6955376119436797e-07
1.524477664974619	3.7157232403864434e-07
1.524507388606881	3.7543906601464285e-07
1.5245371122391425	3.8339229300798297e-07
1.5245668358714042	3.885722574832457e-07
1.524596559503666	3.812408633854121e-07
1.5246262831359276	3.705909670394495e-07
1.5246560067681894	3.6551869201710443e-07
1.524685730400451	3.6457818676940273e-07
1.5247154540327126	3.647644422497589e-07
1.5247451776649745	3.6416949816390325e-07
1.524774901297236	3.630338566601499e-07
1.524804624929498	3.622830339818198e-07
1.5248343485617595	3.6190588398026216e-07
1.5248640721940212	3.6172895259148015e-07
1.524893795826283	3.618244047679745e-07
1.5249235194585447	3.6259807414923183e-07
1.5249532430908064	3.6476780730586655e-07
1.524982966723068	3.6752716109431043e-07
1.5250126903553296	3.6756744500410954e-07
1.5250424139875915	3.646636386612248e-07
1.525072137619853	3.6236396109334403e-07
1.525101861252115	3.619246164766062e-07
1.5251315848843765	3.6198720516060893e-07
1.5251613085166382	3.613606958210524e-07
1.5251910321489	3.608538323763639e-07
1.5252207557811617	3.6126047634128135e-07
1.5252504794134234	3.6152113926760833e-07
1.5252802030456851	3.6080258415356136e-07
1.5253099266779466	3.600083994229787e-07
1.5253396503102086	3.596471625004862e-07
1.52536937394247	3.5943666008045876e-07
1.525399097574732	3.595072068530366e-07
1.5254288212069935	3.5988085753155606e-07
1.5254585448392552	3.6017965226350686e-07
1.525488268471517	3.609112645559803e-07
1.5255179921037787	3.617843658497191e-07
1.5255477157360404	3.609928010943825e-07
1.5255774393683021	3.5910650180209155e-07
1.5256071630005639	3.578997854447806e-07
1.5256368866328256	3.5739166087565566e-07
1.525666610265087	3.570829035527076e-07
1.525696333897349	3.572975825306216e-07
1.5257260575296105	3.592155827713997e-07
1.5257557811618725	3.6438781829080157e-07
1.525785504794134	3.7064417726183377e-07
1.5258152284263957	3.7061277252159575e-07
1.5258449520586574	3.6410912077843475e-07
1.5258746756909192	3.5860069972154215e-07
1.525904399323181	3.565323117338332e-07
1.5259341229554426	3.560449914538976e-07
1.5259638465877041	3.554693832886771e-07
1.525993570219966	3.546700123064258e-07
1.5260232938522276	3.541571968173819e-07
1.5260530174844895	3.5385121142822784e-07
1.526082741116751	3.53618232212017e-07
1.5261124647490127	3.5379498381021313e-07
1.5261421883812745	3.548236460782582e-07
1.5261719120135362	3.561049054204578e-07
1.526201635645798	3.561231143493441e-07
1.5262313592780596	3.5495152989701353e-07
1.5262610829103211	3.537486290209044e-07
1.526290806542583	3.528940605568758e-07
1.5263205301748446	3.5226543428758857e-07
1.5263502538071065	3.5194514141910394e-07
1.526379977439368	3.5221858242213285e-07
1.5264097010716298	3.538502145131147e-07
1.5264394247038915	3.5728224430518017e-07
1.5264691483361532	3.597340776682949e-07
1.526498871968415	3.5797325395872437e-07
1.5265285956006767	3.544065344264394e-07
1.5265583192329382	3.521479468018194e-07
1.5265880428652001	3.5113753268965417e-07
1.5266177664974616	3.506304552761679e-07
1.5266474901297236	3.504733040715509e-07
